Data,Intervalo,Vazao
 1-6-2023,12:00:00 a 17:59:59,860620011.5
 1-6-2023,18:00:00 a 23:59:59,880017050.5
 2-6-2023,00:00:00 a 05:59:59,901774368.0
 2-6-2023,06:00:00 a 11:59:59,912525451.5
 2-6-2023,12:00:00 a 17:59:59,889717314.0
 2-6-2023,18:00:00 a 23:59:59,871363431.0
 3-6-2023,00:00:00 a 05:59:59,874513662.0
 3-6-2023,06:00:00 a 11:59:59,903873912.0
 3-6-2023,12:00:00 a 17:59:59,888143963.5
 3-6-2023,18:00:00 a 23:59:59,880284833.0
 4-6-2023,00:00:00 a 05:59:59,905181776.0
 4-6-2023,06:00:00 a 11:59:59,897583876.5
 4-6-2023,12:00:00 a 17:59:59,872153223.0
 4-6-2023,18:00:00 a 23:59:59,896536701.5
 5-6-2023,00:00:00 a 05:59:59,921701483.0
 5-6-2023,06:00:00 a 11:59:59,882378292.0
 5-6-2023,12:00:00 a 17:59:59,892077533.0
 5-6-2023,18:00:00 a 23:59:59,903350007.5
 6-6-2023,00:00:00 a 05:59:59,883165163.0
 6-6-2023,06:00:00 a 11:59:59,878184160.0
 6-6-2023,12:00:00 a 17:59:59,908591172.0
 6-6-2023,18:00:00 a 23:59:59,921175928.0
 7-6-2023,00:00:00 a 05:59:59,924842598.0
 7-6-2023,06:00:00 a 11:59:59,884998940.0
 7-6-2023,12:00:00 a 17:59:59,900466577.5
 7-6-2023,18:00:00 a 23:59:59,899160126.0
 8-6-2023,00:00:00 a 05:59:59,875037586.5
 8-6-2023,06:00:00 a 11:59:59,895483709.0
 8-6-2023,12:00:00 a 17:59:59,876083375.0
 8-6-2023,18:00:00 a 23:59:59,875298864.0
 9-6-2023,00:00:00 a 05:59:59,887096715.0
 9-6-2023,06:00:00 a 11:59:59,878444626.0
 9-6-2023,12:00:00 a 17:59:59,882902676.0
 9-6-2023,18:00:00 a 23:59:59,915931660.0
 10-6-2023,00:00:00 a 05:59:59,859570675.0
 10-6-2023,06:00:00 a 11:59:59,856688391.0
 10-6-2023,12:00:00 a 17:59:59,902824748.0
 10-6-2023,18:00:00 a 23:59:59,886049380.0
 11-6-2023,00:00:00 a 05:59:59,896795623.5
 11-6-2023,06:00:00 a 11:59:59,895484978.0
 11-6-2023,12:00:00 a 17:59:59,878183585.0
 11-6-2023,18:00:00 a 23:59:59,889713266.0
 12-6-2023,00:00:00 a 05:59:59,912524568.0
 12-6-2023,06:00:00 a 11:59:59,905971430.0
 12-6-2023,12:00:00 a 17:59:59,907018149.0
 12-6-2023,18:00:00 a 23:59:59,915408542.5
 13-6-2023,00:00:00 a 05:59:59,893911467.0
 13-6-2023,06:00:00 a 11:59:59,900201600.0
 13-6-2023,12:00:00 a 17:59:59,886044712.0
 13-6-2023,18:00:00 a 23:59:59,861142205.5
 14-6-2023,00:00:00 a 05:59:59,883427797.0
 14-6-2023,06:00:00 a 11:59:59,903873075.0
 14-6-2023,12:00:00 a 17:59:59,823656365.0
 14-6-2023,18:00:00 a 23:59:59,899941059.5
 15-6-2023,00:00:00 a 05:59:59,902300098.5
 15-6-2023,06:00:00 a 11:59:59,879754032.0
 15-6-2023,12:00:00 a 17:59:59,877134788.5
 15-6-2023,18:00:00 a 23:59:59,893650472.5
 16-6-2023,00:00:00 a 05:59:59,928515672.0
 16-6-2023,06:00:00 a 11:59:59,886571717.0
 16-6-2023,12:00:00 a 17:59:59,902038478.0
 16-6-2023,18:00:00 a 23:59:59,878179458.0
 17-6-2023,00:00:00 a 05:59:59,906756291.0
 17-6-2023,06:00:00 a 11:59:59,897058719.5
 17-6-2023,12:00:00 a 17:59:59,860358302.0
 17-6-2023,18:00:00 a 23:59:59,851968681.0
 18-6-2023,00:00:00 a 05:59:59,879495431.0
 18-6-2023,06:00:00 a 11:59:59,886571687.5
 18-6-2023,12:00:00 a 17:59:59,894173710.5
 18-6-2023,18:00:00 a 23:59:59,908592239.5
 19-6-2023,00:00:00 a 05:59:59,900203897.5
 19-6-2023,06:00:00 a 11:59:59,874774749.0
 19-6-2023,12:00:00 a 17:59:59,892340445.5
 19-6-2023,18:00:00 a 23:59:59,914097749.0
 20-6-2023,00:00:00 a 05:59:59,892337985.5
 20-6-2023,06:00:00 a 11:59:59,916193968.5
 20-6-2023,12:00:00 a 17:59:59,887357158.5
 20-6-2023,18:00:00 a 23:59:59,882641274.0
 21-6-2023,00:00:00 a 05:59:59,894434561.5
 21-6-2023,06:00:00 a 11:59:59,893651667.0
 21-6-2023,12:00:00 a 17:59:59,882378115.0
 21-6-2023,18:00:00 a 23:59:59,905317981.5
 22-6-2023,00:00:00 a 05:59:59,904126473.0
 22-6-2023,06:00:00 a 11:59:59,901515637.0
 22-6-2023,12:00:00 a 17:59:59,895223009.5
 22-6-2023,18:00:00 a 23:59:59,904399807.0
